PeakID (cmd=annotatePeaks.pl ./top_concordant_peaks_full-set.narrowPeak hg19 -noann)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr2-70751628-2	chr2	70751561	70751696	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	28950	NM_001308158	7039		NM_003236	ENSG00000163235	TGFA	TFGA	transforming growth factor alpha	protein-coding
Merged-chr3-110139200-2	chr3	110139133	110139267	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	649606	NR_045114	100506555		NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
Merged-chr6-72253954-2	chr6	72253884	72254025	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	123224	NR_121615	102724000		NR_121615		LINC01626	-	long intergenic non-protein coding RNA 1626	ncRNA
Merged-chr4-23730263-2	chr4	23730197	23730329	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	152652	NM_001330753	10891		NM_013261	ENSG00000109819	PPARGC1A	LEM6|PGC-1(alpha)|PGC-1alpha|PGC-1v|PGC1|PGC1A|PPARGC1	PPARG coactivator 1 alpha	protein-coding
Merged-chr1-198638351-2	chr1	198638297	198638406	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	30181	NR_052021	5788		NM_002838	ENSG00000081237	PTPRC	B220|CD45|CD45R|GP180|IMD105|L-CA|LCA|LY5|T200	protein tyrosine phosphatase receptor type C	protein-coding
Merged-chr1-222638327-2	chr1	222638245	222638409	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	83119	NM_024746	79802		NM_024746	ENSG00000143512	HHIPL2	KIAA1822L	HHIP like 2	protein-coding
Merged-chr17-836798-2	chr17	836748	836848	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	23926	NR_135633	101927727		NR_135633	ENSG00000262003	LOC101927727	-	uncharacterized LOC101927727	ncRNA
Merged-chr8-131245211-2	chr8	131245159	131245264	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	63568	NR_002765	29065		NM_014152		ASAP1-IT1	ASAP1-IT|ASAP1IT|ASAP1IT1|DDEF1IT1|HSPC054|NCRNA00050	ASAP1 intronic transcript 1	ncRNA
Merged-chr6-26322907-2	chr6	26322815	26323000	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-37145	NM_003543	8365		NM_003543	ENSG00000158406	H4C8	H4-16|H4/h|H4C1|H4C11|H4C12|H4C13|H4C14|H4C15|H4C16|H4C2|H4C3|H4C4|H4C5|H4C6|H4C9|H4FH|HIST1H4H	H4 clustered histone 8	protein-coding
Merged-chr19-12691218-2	chr19	12691152	12691284	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-28922	NM_144976	163050		NM_144976	ENSG00000249709	ZNF564	-	zinc finger protein 564	protein-coding
Merged-chrX-46187222-2	chrX	46187162	46187283	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-113	NR_110388	101927574		NR_110388		LINC01186	ZNF674-1	long intergenic non-protein coding RNA 1186	ncRNA
Merged-chr13-78722222-2	chr13	78722148	78722297	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	93232	NR_047001	100874222		NR_047001	ENSG00000234377	OBI1-AS1	POU4F1-AS1|RNF219-AS1	OBI1 antisense RNA 1	ncRNA
Merged-chr6-41885377-2	chr6	41885288	41885466	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	3304	NM_001305456	9477		NM_004275	ENSG00000124641	MED20	PRO0213|SRB2|TRFP	mediator complex subunit 20	protein-coding
Merged-chr6-29110329-2	chr6	29110274	29110385	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	30742	NM_001005216	442186		NM_001005216	ENSG00000204701	OR2J3	6M1-3|C3HEXS|HS6M1-3|OR6-16|OR6-6|OR6.3.6|ORL671	olfactory receptor family 2 subfamily J member 3	protein-coding
Merged-chr8-129189155-2	chr8	129189093	129189218	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	26793	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
Merged-chr14-22764817-2	chr14	22764753	22764882	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	136928	NR_148362	105370401		NR_148361	ENSG00000251002	TRD-AS1	-	TRD antisense RNA 1	ncRNA
Merged-chr10-129971857-2	chr10	129971793	129971921	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-47170	NM_002417	4288		NM_002417	ENSG00000148773	MKI67	KIA|MIB-|MIB-1|PPP1R105	marker of proliferation Ki-67	protein-coding
Merged-chr14-51233190-2	chr14	51233131	51233249	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-55325	NR_135258	105370489		NR_135258	ENSG00000258843	LOC105370489	-	uncharacterized LOC105370489	ncRNA
Merged-chr2-12173255-2	chr2	12173189	12173321	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	26013	NR_110196	100506457		NR_110196	ENSG00000224184	MIR3681HG	-	MIR3681 host gene	ncRNA
Merged-chr1-23523619-2	chr1	23523558	23523680	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	20376	NM_000864	3352		NM_000864	ENSG00000179546	HTR1D	5-HT1D|HT1DA|HTR1DA|HTRL|RDC4	5-hydroxytryptamine receptor 1D	protein-coding
Merged-chr6-27521319-2	chr6	27521268	27521371	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-80422	NM_001318891	7738		NM_007149	ENSG00000096654	ZNF184	kr-ZNF3	zinc finger protein 184	protein-coding
Merged-chr6-72188787-2	chr6	72188705	72188870	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	58057	NR_121615	102724000		NR_121615		LINC01626	-	long intergenic non-protein coding RNA 1626	ncRNA
Merged-chr5-150017281-2	chr5	150017226	150017337	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-2941	NM_007286	11346		NM_007286	ENSG00000171992	SYNPO	SYNPO1	synaptopodin	protein-coding
Merged-chr8-11373560-2	chr8	11373470	11373650	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	21664	NM_001330465	640		NM_001715	ENSG00000136573	BLK	MODY11	BLK proto-oncogene, Src family tyrosine kinase	protein-coding
Merged-chr2-150846159-2	chr2	150846105	150846214	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-130454	NR_145421	150596		NM_153041	ENSG00000162947	LINC01931	-	long intergenic non-protein coding RNA 1931	ncRNA
Merged-chr5-76254955-2	chr5	76254878	76255033	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	6085	NM_001882	1393		NM_001882	ENSG00000145708	CRHBP	CRF-BP|CRFBP	corticotropin releasing hormone binding protein	protein-coding
Merged-chr6-3061973-2	chr6	3061902	3062045	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-2228	NM_001354931	8737		NM_003804	ENSG00000137275	RIPK1	AIEFL|IMD57|RIP|RIP-1|RIP1	receptor interacting serine/threonine kinase 1	protein-coding
Merged-chr12-107488052-2	chr12	107487966	107488139	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-725	NM_004075	1407		NM_004075	ENSG00000008405	CRY1	DSPD|PHLL1	cryptochrome circadian regulator 1	protein-coding
Merged-chr1-56192779-2	chr1	56192727	56192832	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	217857	NR_147162	105378739		NR_147162	ENSG00000230250	LINC01753	-	long intergenic non-protein coding RNA 1753	ncRNA
Merged-chrX-63142306-2	chrX	63142216	63142396	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-136339	NR_031567	100302115		NR_031567	ENSG00000222532	MIR1468	MIRN1468|hsa-mir-1468|mir-1468	microRNA 1468	ncRNA
Merged-chr13-99719618-2	chr13	99719542	99719695	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	19330	NM_001130049	23348		NM_015296	ENSG00000088387	DOCK9	ZIZ1|ZIZIMIN1	dedicator of cytokinesis 9	protein-coding
Merged-chr12-95377854-2	chr12	95377795	95377914	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	19619	NM_018838	55967		NM_018838	ENSG00000184752	NDUFA12	B17.2|DAP13|MC1DN23	NADH:ubiquinone oxidoreductase subunit A12	protein-coding
Merged-chr9-117657313-2	chr9	117657253	117657373	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	35558	NM_001244	944		NM_001244	ENSG00000106952	TNFSF8	CD153|CD30L|CD30LG|TNLG3A	TNF superfamily member 8	protein-coding
Merged-chr16-686698-2	chr16	686638	686758	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-254	NR_149003	100287175		NR_149003		LOC100287175	-	uncharacterized LOC100287175	ncRNA
Merged-chr11-100610600-2	chr11	100610539	100610662	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-51914	NR_133571	100128386		NR_133571	ENSG00000248027	ARHGAP42-AS1	-	ARHGAP42 antisense RNA 1	ncRNA
Merged-chr5-60347256-2	chr5	60347188	60347325	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	106224	NM_174889	91942		NM_174889	ENSG00000164182	NDUFAF2	B17.2L|MC1DN10|MMTN|NDUFA12L|mimitin	NADH:ubiquinone oxidoreductase complex assembly factor 2	protein-coding
Merged-chr5-72670518-2	chr5	72670454	72670582	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	36785	NR_146627	105379033		NR_146627		LINC02230	-	long intergenic non-protein coding RNA 2230	ncRNA
Merged-chr2-69116943-2	chr2	69116880	69117007	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-18414	NM_014482	27302		NM_014482	ENSG00000163217	BMP10	-	bone morphogenetic protein 10	protein-coding
Merged-chr1-219964731-2	chr1	219964672	219964791	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	136248	NR_165031								
Merged-chr12-12976389-2	chr12	12976292	12976486	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	10109	NM_201224	51202		NM_016355	ENSG00000213782	DDX47	E4-DBP|HQ0256|MSTP162|RRP3	DEAD-box helicase 47	protein-coding
Merged-chr16-68824262-2	chr16	68824196	68824328	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	53067	NM_004360	999		NM_004360	ENSG00000039068	CDH1	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	cadherin 1	protein-coding
Merged-chr10-62144711-2	chr10	62144657	62144766	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	4922	NM_001320874	288		NM_001149	ENSG00000151150	ANK3	ANKYRIN-G|MRT37	ankyrin 3	protein-coding
